name,note,category,coordinates,lng_val,lat_val,caption
Butte Aux Cailles,NA,neighborhood,"48.827711, 2.349674",2.349674,48.827711,Butte Aux Cailles |
Village Saint Paul,NA,neighborhood,"48.85380780284867, 2.362099625894169",2.362099625894169,48.85380780284867,Village Saint Paul |
Place des Vosges,NA,neighborhood,"48.85586196991341, 2.367307584383303",2.367307584383303,48.85586196991341,Place des Vosges |
Carnavalet Museum,NA,museum,"48.85738805149732, 2.364080984901696",2.364080984901696,48.85738805149732,Carnavalet Museum |
BAMBINO,records,restaurant,"48.86282975959582, 2.37847846715901",2.37847846715901,48.86282975959582,BAMBINO | records
LULU Crêperie,NA,restaurant,"48.86311921682554, 2.362635968222166",2.362635968222166,48.86311921682554,LULU Crêperie |
Place Dauphine,NA,neighborhood,"48.85652416480164, 2.3424410840849754",2.342441084084975,48.85652416480164,Place Dauphine |
Dante,NA,restaurant,"48.874631752243985, 2.353771435436156",2.353771435436156,48.874631752243985,Dante |
Chez Alain Miam Miam,sandwiches,restaurant,"48.86239445144907, 2.361913768740444",2.361913768740444,48.86239445144907,Chez Alain Miam Miam | sandwiches
<a href='https://www.lesar-restaurant.fr/' target='_blank'>Lesar Restaurant</a>,Tom Lingner's favorite,restaurant,"48.838366275238755, 2.35152608432559",2.35152608432559,48.838366275238755,<a href='https://www.lesar-restaurant.fr/' target='_blank'>Lesar Restaurant</a> | Tom Lingner's favorite
Musée d'Orsay,NA,museum,"48.86011665851564, 2.32665795710224",2.32665795710224,48.86011665851564,Musée d'Orsay |
Palace of Versailles,NA,museum,"48.804970865501, 2.12007644783335",2.12007644783335,48.804970865501,Palace of Versailles |
Galeries Lafayette Haussmann,View from roof,store,"48.873718501473284, 2.3321262885673466",2.3321262885673466,48.87371850147328,Galeries Lafayette Haussmann | View from roof
Jardin du Luxembourg,NA,park,"48.84681597294579, 2.3364072500682505",2.3364072500682505,48.84681597294579,Jardin du Luxembourg |
Parc Monceau,NA,park,"48.88006020214913, 2.3091252252192427",2.3091252252192427,48.88006020214913,Parc Monceau |
LALA Hôtel,NA,hotel,"48.88343165064482, 2.325123514202397",2.325123514202397,48.88343165064482,LALA Hôtel |
Metro: Place de Clichy,NA,subway,"48.88373820753087, 2.3281385450929686",2.3281385450929686,48.88373820753087,Metro: Place de Clichy |
Cafe Georges V - Champs Elysee,Where The Style Council shot the cover of Cafe Bleu.,cafe / photo opp,"48.8725674793211, 2.3008629254378032",2.3008629254378032,48.8725674793211,Cafe Georges V - Champs Elysee | Where The Style Council shot the cover of Cafe Bleu.
La Belle Farronière,Nearby cafe where add'l TSC photos (and the US album cover) were taken.,cafe / photo opp,"48.86957848627307, 2.3037916750255003",2.3037916750255003,48.86957848627307,La Belle Farronière | Nearby cafe where add'l TSC photos (and the US album cover) were taken.
President Wilson Market,WED: 7:00 AM – 1:30 PM | SAT: 7:00 AM – 2:30 PM,market,"48.86518989445019, 2.2960536355847676",2.2960536355847676,48.86518989445019,President Wilson Market | WED: 7:00 AM – 1:30 PM | SAT: 7:00 AM – 2:30 PM
Le Grand Epicerie de Paris,Multi-story gourmet food market/destination,gourmet market,"48.85969027625157, 2.281738258736061",2.281738258736061,48.85969027625157,Le Grand Epicerie de Paris | Multi-story gourmet food market/destination
Esplanade Jacques Chaban-Delmas,NA,park,"48.8476654666538, 2.311692516651423",2.311692516651423,48.8476654666538,Esplanade Jacques Chaban-Delmas |
Hôtel des Invalides,NA,museum,"48.85687861414433, 2.3127676897280556",2.3127676897280556,48.85687861414433,Hôtel des Invalides |
Eiffel Tower,"I mean... we need to, right?",landmark,"48.8601218915078, 2.2878715795144307",2.2878715795144307,48.8601218915078,"Eiffel Tower | I mean... we need to, right?"
Parc des Buttes-Chaumont,NA,park,"48.883579716837936, 2.3832562269265836",2.3832562269265836,48.883579716837936,Parc des Buttes-Chaumont |
Park de Belleville,NA,park,"48.87176417979252, 2.3844771538470937",2.3844771538470937,48.87176417979252,Park de Belleville |
MEEP! – Maison Européenne de la Photographie,NA,museum,"48.8557236980416, 2.3594133819959113",2.3594133819959113,48.8557236980416,MEEP! – Maison Européenne de la Photographie |
Pere Lachaise Cemetery,"Famous cemetery; Jim Morrison, Oscar Wilde, Piaf, Chopin, etc buried there. Not a must-do, but if we're in the area...",landmark/photo opp,"48.86162728249322, 2.3939928485580615",2.3939928485580615,48.86162728249322,"Pere Lachaise Cemetery | Famous cemetery; Jim Morrison, Oscar Wilde, Piaf, Chopin, etc buried there. Not a must-do, but if we're in the area..."
Place de la Concorde,"Photogenic, tourist-y, we'll likely be in the area at some point. (And in case we want to replicate the cover of ""A Paris"".)",landmark/photo opp,"48.86573896567691, 2.3220135406280296",2.3220135406280296,48.86573896567691,"Place de la Concorde | Photogenic, tourist-y, we'll likely be in the area at some point. (And in case we want to replicate the cover of ""A Paris"".)"
Cité florale,"Each of the houses within the neighbourhood has its own flower garden, the streets are paved with cobblestones and are named after flowers.",neighborhood,"48.82286884501406, 2.344956056105185",2.344956056105185,48.82286884501406,"Cité florale | Each of the houses within the neighbourhood has its own flower garden, the streets are paved with cobblestones and are named after flowers."
<a href='https://www.cntraveler.com/restaurants/paris/kubri' target='_blank'>Kubri </a>,A Lebanese spot that's one of the most dynamic and creative restaurants to open in Paris,restaurant,"48.86318407474078, 2.367301211050896",2.367301211050896,48.86318407474078,<a href='https://www.cntraveler.com/restaurants/paris/kubri' target='_blank'>Kubri </a> | A Lebanese spot that's one of the most dynamic and creative restaurants to open in Paris
<a href='https://wanderlog.com/place/details/6777634/biyo-d%C3%BCr%C3%BCm' target='_blank'>Biyo Dürüm</a>,"Kurdish fast-food spot in Paris, located near the Marche d'Aligre. The tiny canteen run by Serdar Kaya and his wife, Sedef, offers traditional Kurdish rolled durum sandwiches made with hand-rolled wafer-thin flatbreads and succulent skewers of veal, lamb, chicken, and minced kefte spit-roasted on charcoal.",restaurant,"48.85068501103095, 2.3799628150101095",2.3799628150101095,48.85068501103095,"<a href='https://wanderlog.com/place/details/6777634/biyo-d%C3%BCr%C3%BCm' target='_blank'>Biyo Dürüm</a> | Kurdish fast-food spot in Paris, located near the Marche d'Aligre. The tiny canteen run by Serdar Kaya and his wife, Sedef, offers traditional Kurdish rolled durum sandwiches made with hand-rolled wafer-thin flatbreads and succulent skewers of veal, lamb, chicken, and minced kefte spit-roasted on charcoal."
<a href='https://lefooding.com/en/restaurants/kamo-4' target='_blank'>Kamo</a>,"Neo-Bistro, Asian",restaurant,"48.87445234060503, 2.3531088287148982",2.3531088287148982,48.87445234060503,"<a href='https://lefooding.com/en/restaurants/kamo-4' target='_blank'>Kamo</a> | Neo-Bistro, Asian"
<a href='https://www.cntraveler.com/shops/paris/marche-des-enfants-rouges' target='_blank'>Marché des Enfants Rouges (covered)</a>,"Foodies will love exploring the multicultural tastes and aromas of the oldest food market in Paris, dating back to 1615.",market,"48.86267500317949, 2.362805891756684",2.362805891756684,48.86267500317949,"<a href='https://www.cntraveler.com/shops/paris/marche-des-enfants-rouges' target='_blank'>Marché des Enfants Rouges (covered)</a> | Foodies will love exploring the multicultural tastes and aromas of the oldest food market in Paris, dating back to 1615."
<a href='https://www.lebongeorges.paris/' target='_blank'>Le Bon Georges</a>,"Classic Parisian bistro with a chalkboard menu of daily dishes with seasonal produce, plus a long wine list.",restaurant,"48.877816691549945, 2.33727991474594",2.33727991474594,48.877816691549945,"<a href='https://www.lebongeorges.paris/' target='_blank'>Le Bon Georges</a> | Classic Parisian bistro with a chalkboard menu of daily dishes with seasonal produce, plus a long wine list."
<a href='https://www.lamachinedumoulinrouge.com/le-bar-a-bulles/' target='_blank'>Le Bar à Bulles</a>,Rooftop bar behind the windmill blades at Moulen Rouge,bar,"48.88471002715455, 2.332271841758535",2.332271841758535,48.88471002715455,<a href='https://www.lamachinedumoulinrouge.com/le-bar-a-bulles/' target='_blank'>Le Bar à Bulles</a> | Rooftop bar behind the windmill blades at Moulen Rouge
<a href='https://cloparis.com/' target='_blank'>Chez Clo'</a>,Tapas and cocktails. ,restaurant,"48.8681124431618, 2.374422053374773",2.374422053374773,48.8681124431618,<a href='https://cloparis.com/' target='_blank'>Chez Clo'</a> | Tapas and cocktails.
<a href='https://www.slakparis.fr/' target='_blank'>SLAK</a>,Inexpensive authentic Turkish street food.,restaurant,"48.88251729496517, 2.333381653754128",2.333381653754128,48.88251729496517,<a href='https://www.slakparis.fr/' target='_blank'>SLAK</a> | Inexpensive authentic Turkish street food.
<a href='https://www.yelp.com/biz/muniyandi-vilas-paris' target='_blank'>Muniyandi Vilas</a>,Inexpensive Indian / Sri Lankan food.,restaurant,"48.883933419139645, 2.359043426413768",2.359043426413768,48.883933419139645,<a href='https://www.yelp.com/biz/muniyandi-vilas-paris' target='_blank'>Muniyandi Vilas</a> | Inexpensive Indian / Sri Lankan food.
<a href='https://www.roriparis.com/' target='_blank'>Rori Pizza (and drinks)</a>,"Fine pizza and natural wine, cocktails",restaurant,"48.867932851462406, 2.3784385698558848",2.3784385698558848,48.867932851462406,"<a href='https://www.roriparis.com/' target='_blank'>Rori Pizza (and drinks)</a> | Fine pizza and natural wine, cocktails"
<a href='https://www.momohouse-paris.fr/en/' target='_blank'>Momo House</a>,Nepali / Tibetan streetfood,restaurant,"48.86771124772541, 2.343983678007193",2.343983678007193,48.86771124772541,<a href='https://www.momohouse-paris.fr/en/' target='_blank'>Momo House</a> | Nepali / Tibetan streetfood
<a href='https://www.oobatz.fr/' target='_blank'>Oobatz (best pizza)</a>,Fancy pizza. Reservations needed.,restaurant,"48.864757416431296, 2.3818626511012013",2.3818626511012013,48.864757416431296,<a href='https://www.oobatz.fr/' target='_blank'>Oobatz (best pizza)</a> | Fancy pizza. Reservations needed.
<a href='https://fellows-restaurants.com/etablissement/fellows-saint-germain/' target='_blank'>Fellows Saint-Germain</a>,"handmade pasta, seasonal ingrediants, drinks",restaurant,"48.85237850868998, 2.3365516259462806",2.3365516259462806,48.85237850868998,"<a href='https://fellows-restaurants.com/etablissement/fellows-saint-germain/' target='_blank'>Fellows Saint-Germain</a> | handmade pasta, seasonal ingrediants, drinks"
<a href='https://fellows-restaurants.com/etablissement/fellows-faubourg-st-denis/' target='_blank'>Fellows Saint-Denis</a>,"handmade pasta, seasonal ingrediants, drinks",restaurant,"48.87385988156478, 2.355262057746975",2.355262057746975,48.87385988156478,"<a href='https://fellows-restaurants.com/etablissement/fellows-faubourg-st-denis/' target='_blank'>Fellows Saint-Denis</a> | handmade pasta, seasonal ingrediants, drinks"
<a href='https://www.parisunlocked.com/paris-neighbourhoods/canal-st-martin-and-republique/paris-canal-saint-martin-neighborhood-guide/' target='_blank'>Canal Saint-Martin</a>,"One of the Right Bank’s most vibrant areas. Scores of boutiques, restaurants and wine bars, and a bustling nightlife scene.",neighborhood,"48.86997882794327, 2.3673391434772904",2.3673391434772904,48.86997882794327,"<a href='https://www.parisunlocked.com/paris-neighbourhoods/canal-st-martin-and-republique/paris-canal-saint-martin-neighborhood-guide/' target='_blank'>Canal Saint-Martin</a> | One of the Right Bank’s most vibrant areas. Scores of boutiques, restaurants and wine bars, and a bustling nightlife scene."
